ProductID,ProductName,Category,SupplierID,UnitCostNGN,UnitPriceNGN,UnitsPerCarton
PRD-0001,Coca-Cola 50cl PET x12,Beverages,SUP-24,4200,4970,12
PRD-0002,Fanta Orange 50cl PET x12,Beverages,SUP-24,4100,5180,12
PRD-0003,Sprite 50cl PET x12,Beverages,SUP-04,4100,4840,12
PRD-0004,Pepsi 50cl PET x12,Beverages,SUP-12,3900,4490,12
PRD-0005,Eva Water 75cl x12,Beverages,SUP-24,2600,3110,12
PRD-0006,Aquafina Water 75cl x12,Beverages,SUP-24,2500,3060,12
PRD-0007,Chivita 100% Orange 1L x12,Beverages,SUP-20,13800,17070,12
PRD-0008,Chivita Active 1L x12,Beverages,SUP-20,13500,16360,12
PRD-0009,Hollandia Yoghurt 1L x12,Beverages,SUP-04,14200,18390,12
PRD-0010,5Alive Pulpy 1L x12,Beverages,SUP-24,13200,16050,12
PRD-0011,Maltina Can 33cl x24,Beverages,SUP-16,13900,17170,24
PRD-0012,Amstel Malta 33cl x24,Beverages,SUP-12,14400,18410,24
PRD-0013,Lucozade Boost 50cl x12,Beverages,SUP-08,9800,11970,12
PRD-0014,Ribena Blackcurrant 50cl x12,Beverages,SUP-08,11200,13790,12
PRD-0015,Nescafe Classic 50x2g Sachet,Beverages,SUP-24,6900,8500,50
PRD-0016,Milo Refill 500g x12,Beverages,SUP-08,34500,42680,12
PRD-0017,Bournvita Refill 500g x12,Beverages,SUP-04,31800,39680,12
PRD-0018,Peak Milk Powder 400g Tin x12,Beverages,SUP-12,48200,62570,12
PRD-0019,Peak Evap 160g x48,Beverages,SUP-04,26400,31240,48
PRD-0020,Three Crowns Evap 160g x48,Beverages,SUP-24,23800,29210,48
PRD-0021,Cowbell Powder Sachet 60x14g,Beverages,SUP-16,14800,19390,60
PRD-0022,Top Tea 100 Bags x12,Beverages,SUP-20,9600,11680,12
PRD-0023,Lipton Yellow Label 100s x12,Beverages,SUP-24,13400,16940,12
PRD-0024,Zobo Concentrate 1L x6,Beverages,SUP-24,7800,9800,6
PRD-0025,La Casera Apple 50cl x12,Beverages,SUP-04,4300,5090,12
PRD-0026,Bigi Cola 60cl x12,Beverages,SUP-04,3600,4150,12
PRD-0027,Bigi Chapman 60cl x12,Beverages,SUP-04,3800,4920,12
PRD-0028,Teem Bitter Lemon 50cl x12,Beverages,SUP-24,4000,4910,12
PRD-0029,Schweppes Chapman 33cl x24,Beverages,SUP-20,8900,11070,24
PRD-0030,Monster Energy 44cl x12,Beverages,SUP-16,21500,25250,12
PRD-0031,Power Horse 25cl x24,Beverages,SUP-16,30200,36660,24
